"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"1","QE1a","bid_ask_v1_COB_change","long",-0.000444444444444544,0.000881917103688079,0.00100000000000033,0.00099999999999989,-0.00199999999999978
"2","QE1a","bid_ask_v1_COB_change","medium",0,0.000632455532033606,0,0.00099999999999989,-0.00099999999999989
"3","QE1a","bid_ask_v1_COB_change","untargeted_long",-0.000142857142857064,0.000690065559342401,0.000500000000000611,0.00100000000000033,-0.00100000000000033
"4","QE1a","bid_ask_v1_COB_change","untargeted_short",-2.22044604925031e-16,3.14018491736755e-16,2.22044604925031e-16,0,-4.44089209850063e-16
"5","QE1a","bid_ask_v1_t+1_change","long",-0.000555555555555642,0.000726483157256648,0.00100000000000033,4.44089209850063e-16,-0.00199999999999934
"6","QE1a","bid_ask_v1_t+1_change","medium",-0.000666666666666593,0.000516397779494265,0.000749999999999917,0,-0.00099999999999989
"7","QE1a","bid_ask_v1_t+1_change","untargeted_long",-0.000285714285714191,0.000487950036474256,0.000499999999999945,8.88178419700125e-16,-0.00100000000000033
"8","QE1a","bid_ask_v1_t+1_change","untargeted_short",-0.000500000000000389,0.00070710678118647,0.000499999999999945,-4.44089209850063e-16,-0.00100000000000033
"9","QE1a","bid_ask_v2_COB_change","long",2.43033982827774e-05,0.000235726344560854,0.000237116284456547,0.000485757280191929,-0.000355247564178927
"10","QE1a","bid_ask_v2_COB_change","medium",0.000242969909091819,0.000238722808672151,0.000120159909517725,0.000584368754635556,-0.000150824006075242
"11","QE1a","bid_ask_v2_COB_change","untargeted_long",-1.81735539623371e-05,0.000160366778013429,0.000138479105516836,0.000235308957476453,-0.000233045757914495
"12","QE1a","bid_ask_v2_COB_change","untargeted_short",0.00029597292946566,8.88544066030354e-05,6.28295534473131e-05,0.000358802482912973,0.000233143376018347
"13","QE1a","bid_ask_v2_t+1_change","long",0.000151498307008212,0.000189619753224555,0.00023072255341249,0.000415972929430085,-0.000184563505803199
"14","QE1a","bid_ask_v2_t+1_change","medium",0.000277159871051056,0.000254360671762212,0.000365372916292218,0.00064522158519346,2.14083279655357e-05
"15","QE1a","bid_ask_v2_t+1_change","untargeted_long",1.82615348672274e-05,0.000108908196616398,9.04579735488703e-05,0.000123830637558632,-0.00016714278280857
"16","QE1a","bid_ask_v2_t+1_change","untargeted_short",5.41624688672345e-05,0.00028371151966688,0.000200614339457191,0.000254776808324426,-0.000146451870589957
"17","QE1a","bid_ask_v3_COB_change","long",-2.63156348799387e-05,1.11883806324826e-05,2.08287561319308e-05,-1.14602967644504e-05,-3.96863356413004e-05
