"","operation_date","ISIN","proceeds_offers","proceeds_purchases","nominal_purchases","tail","res_mat","maturity","cuml_nom_purch","issue_date","cumulative_total_in_issue","holding_ratio","bid_cover","YLD_YTM_MID","YLD_BID_ASK","prog","YLD_YTM_BID","YLD_YTM_ASK","PX_MID","PX_ASK","PX_BID","bid_ask_v1","bid_ask_v2","bid_ask_v3","lin_interp_ois_yield","maturity_sector"
"1",2009-03-11,"GB0031829509",4078.5,338.8,295,0.07,5.492128678987,2014-09-07,295,2009-01-21,17686,0.0166798597760941,12.0380755608028,2.147,0.0089999999999999,"QE1",2.151,2.142,114.693,114.718,114.668,0.0089999999999999,0.00419189566837443,0.000435946396031119,2.28307152635181,"medium"
"2",2009-03-11,"GB0033280339",957.7,439.9,384,0.06,6.49144421629021,2015-09-07,384,2009-01-21,21468,0.0178870877585243,2.17708570129575,2.351,0.00800000000000001,"QE1",2.355,2.347,114.356,114.381,114.331,0.00800000000000001,0.00340280731603573,0.000437231102871709,2.50333162217659,"medium"
"3",2009-03-11,"GB0008881541",620,241,176,0.05,6.74058863791923,2015-12-07,176,2009-01-21,9997.897,0.0176037020585429,2.57261410788382,2.388,0.00700000000000012,"QE1",2.391,2.384,134.738,134.763,134.713,0.00700000000000012,0.00293132328308213,0.000371090560940576,2.55191478439425,"medium"
"4",2009-03-11,"GB00B0V3WX43",767.9,152.8,139,0.08,7.49349760438056,2016-09-07,139,2009-01-21,21827,0.00636825949512072,5.02552356020942,2.559,0.00699999999999967,"QE1",2.562,2.555,109.764,109.789,109.739,0.00699999999999967,0.00273544353262981,0.00045552275791696,2.68022587268994,"medium"
"5",2009-03-11,"GB0008931148",945.5,97.3,67,0.07,8.45722108145106,2017-08-25,67,2009-01-21,10502,0.00637973719291563,9.71736896197328,2.79,0.00600000000000023,"QE1",2.793,2.787,144.628,144.653,144.603,0.00600000000000023,0.00215053763440868,0.000345714522775555,2.81600958247775,"medium"
"6",2009-03-11,"GB00B1VWPC84",3138.7,730.1,622.7,0.12,8.98836413415469,2018-03-07,622.7,2009-01-21,22388,0.02781400750402,4.29900013696754,2.838,0.00600000000000023,"QE1",2.841,2.835,117.043,117.068,117.018,0.00600000000000023,0.00211416490486266,0.000427193424638784,2.88107460643395,"medium"
"7",2009-03-16,"GB00B058DQ55",1144.8,345.4,301,0.03,10.9760438056126,2020-03-07,301,2009-01-30,16618,0.0181128896377422,3.31441806601042,3.229,0.00700000000000012,"QE1",3.233,3.226,113.955,113.992,113.917,0.00700000000000012,0.00216785382471357,0.000658154534684769,3.13998459958932,"long"
"8",2009-03-16,"GB0009997999",2416.9,814.4,541.1,0.07,12.227241615332,2021-06-07,541.1,2009-01-21,22686,0.0238517147139205,2.96770628683694,3.257,0.00599999999999978,"QE1",3.26,3.254,147.512,147.55,147.475,0.00599999999999978,0.00184218606079207,0.000508433212213359,3.26264944102213,"long"
"9",2009-03-16,"GB00B16NNR78",1384.1,243.8,222,0.09,18.7268993839836,2027-12-07,222,2009-01-21,18679,0.0118850045505648,5.6771944216571,3.697,0.00500000000000034,"QE1",3.7,3.695,107.414,107.452,107.377,0.00500000000000034,0.00135244793075476,0.000698233005008685,3.46613449691992,"long"
"10",2009-03-16,"GB0002404191",548.3,92,68,0.02,19.7289527720739,2028-12-07,68,2009-01-21,15931.662,0.00426823014447582,5.95978260869565,3.696,0.004,"QE1",3.698,3.694,132.062,132.099,132.024,0.004,0.00108225108225108,0.000567915070194217,3.47114476386037,"long"
"11",2009-03-16,"GB00B24FF097",847.7,394.7,338,0.08,21.7275838466804,2030-12-07,338,2009-01-21,16540,0.0204353083434099,2.14770711933114,3.795,0.00499999999999989,"QE1",3.798,3.793,114.036,114.074,113.999,0.00499999999999989,0.00131752305665346,0.000657687046195963,3.44658624229979,"long"
"12",2009-03-16,"GB0004893086",345.4,108.2,99,0.09,23.2279260780287,2032-06-07,99,2009-01-21,22368.218,0.00442592252990381,3.19223659889094,3.804,0.00499999999999989,"QE1",3.806,3.801,106.84,106.878,106.803,0.00499999999999989,0.00131440588853835,0.000701984275552254,3.42408110882957,"long"
"13",2009-03-18,"GB0031829509",4250.8,1275.5,1115,0.06,5.47296372347707,2014-09-07,1410,2009-01-21,17686,0.0797240755399751,3.33265386123089,2.298,0.0089999999999999,"QE1",2.302,2.293,113.809,113.834,113.784,0.0089999999999999,0.00391644908616184,0.00043933256596576,2.34837611225188,"medium"
"14",2009-03-18,"GB0033280339",2801.5,168,147,0.01,6.47227926078029,2015-09-07,531,2009-01-21,21468,0.0247344885410844,16.6755952380952,2.452,0.00800000000000001,"QE1",2.456,2.448,113.667,113.692,113.642,0.00800000000000001,0.0032626427406199,0.000439881407972386,2.56959445585216,"medium"
"15",2009-03-18,"GB0008881541",2528.3,384.2,281,0.02,6.72142368240931,2015-12-07,457,2009-01-21,9997.897,0.0457096127315574,6.58068714211348,2.478,0.00599999999999978,"QE1",2.481,2.475,133.983,134.008,133.958,0.00599999999999978,0.00242130750605318,0.000373181672301795,2.61817761806982,"medium"
"16",2009-03-18,"GB00B0V3WX43",2919.2,226.2,206,0.01,7.47433264887064,2016-09-07,345,2009-01-21,21827,0.0158061116965227,12.9053934571176,2.632,0.00699999999999967,"QE1",2.635,2.628,109.222,109.247,109.197,0.00699999999999967,0.00265957446808498,0.000457783230484675,2.7483932238193,"medium"
"17",2009-03-18,"GB0008931148",594.7,7.2,5,0,8.43805612594114,2017-08-25,72,2009-01-21,10502,0.00685583698343173,82.5972222222222,2.851,0.00600000000000023,"QE1",2.854,2.848,143.966,143.991,143.941,0.00600000000000023,0.00210452472816564,0.000347304224608667,2.88944729637235,"medium"
"18",2009-03-18,"GB00B1VWPC84",5093.4,461.8,396,0.04,8.96919917864476,2018-03-07,1018.7,2009-01-21,22388,0.0455020546721458,11.0294499783456,2.942,0.00599999999999978,"QE1",2.945,2.939,116.12,116.145,116.095,0.00599999999999978,0.00203942895989116,0.00043058904581465,2.95849589322382,"medium"
"19",2009-03-18,"GB00B39R3F84",3801.2,471.2,419.4,0.02,9.96851471594798,2019-03-07,419.4,2009-03-11,15953,0.0262897260703316,8.06706281833616,3.111,0.00599999999999978,"QE1",3.114,3.108,111.824,111.849,111.799,0.00599999999999978,0.00192864030858238,0.000447131206181116,3.06661533196441,"medium"
"20",2009-03-23,"GB00B058DQ55",908.5,0,0,0,10.9568788501027,2020-03-07,301,2009-01-30,16618,0.0181128896377422,Inf,3.318,0.00800000000000001,"QE1",3.322,3.314,113.061,113.099,113.024,0.00800000000000001,0.00241109101868596,0.000663358717860295,3.15927618069815,"long"
"21",2009-03-23,"GB0009997999",3845,1339.8,896.7,0.04,12.208076659822,2021-06-07,1437.8,2009-01-21,22686,0.0633782949836904,2.86983131810718,3.356,0.00599999999999978,"QE1",3.359,3.353,146.192,146.229,146.154,0.00599999999999978,0.00178784266984499,0.000513023968479924,3.2806781884554,"long"
"22",2009-03-23,"GB00B16NNR78",1645.4,824.7,764,0.07,18.7077344284736,2027-12-07,986,2009-01-21,18679,0.0527865517425986,1.99514975142476,3.845,0.00599999999999978,"QE1",3.848,3.842,105.359,105.397,105.322,0.00599999999999978,0.00156046814044208,0.000711851858882514,3.46862320328542,"long"
"23",2009-03-23,"GB0002404191",504.1,202.4,152,0.07,19.709787816564,2028-12-07,220,2009-01-21,15931.662,0.0138089798791865,2.49061264822134,3.828,0.00499999999999989,"QE1",3.83,3.825,129.864,129.901,129.826,0.00499999999999989,0.00130616509926852,0.00057752725928677,3.47162936344969,"long"
