operation_date,ISIN,proceeds_offers,proceeds_purchases,nominal_purchases,tail,res_mat,maturity,cuml_nom_purch,issue_date,cumulative_total_in_issue,percent_of_freefloat,bid_cover,YLD_YTM_MID,YLD_BID_ASK,date_dif,1DCHNG_YIELD_BID_ASK,1DCHNG_date_dif,1DCHNG_EOD_YIELD_BID_ASK,1DCHNG_EOD_date_dif,prog
2009-03-11,GB0031829509,4078.5,338.8,295,0.07,5.492128678986996,2014-09-07,295,2009-01-21,17686,0.016679859776094087,12.038075560802833,2.147,0.008999999999999897,0,4.440892098500626e-16,2,0,1,QE1
2009-03-11,GB0033280339,957.7,439.9,384,0.06,6.491444216290212,2015-09-07,384,2009-01-21,21468,0.017887087758524316,2.1770857012957494,2.351,0.008000000000000007,0,0,2,0,1,QE1
2009-03-11,GB0008881541,620,241,176,0.05,6.740588637919234,2015-12-07,176,2009-01-21,9997.897,0.01760370205854291,2.5726141078838176,2.388,0.007000000000000117,0,0.001000000000000334,2,0.001000000000000334,1,QE1
2009-03-11,GB00B0V3WX43,767.9,152.8,139,0.08,7.493497604380561,2016-09-07,139,2009-01-21,21827,0.0063682594951207224,5.0255235602094235,2.559,0.006999999999999673,0,0,2,-4.440892098500626e-16,1,QE1
2009-03-11,GB0008931148,945.5,97.3,67,0.07,8.457221081451062,2017-08-25,67,2009-01-21,10502,0.006379737192915635,9.717368961973278,2.79,0.006000000000000227,0,0,2,0.001000000000000334,1,QE1
2009-03-11,GB00B1VWPC84,3138.7,730.1,622.7,0.12,8.988364134154688,2018-03-07,622.7,2009-01-21,22388,0.02781400750402001,4.299000136967538,2.838,0.006000000000000227,0,4.440892098500626e-16,2,4.440892098500626e-16,1,QE1
2009-03-16,GB00B058DQ55,1144.8,345.4,301,0.03,10.976043805612594,2020-03-07,301,2009-01-30,16618,0.018112889637742206,3.3144180660104228,3.229,0.007000000000000117,0,0,4,-9.999999999998899e-4,3,QE1
2009-03-16,GB0009997999,2416.9,814.4,541.1,0.07,12.227241615331964,2021-06-07,541.1,2009-01-21,22686,0.02385171471392048,2.9677062868369353,3.257,0.005999999999999783,0,-9.999999999994458e-4,4,0,3,QE1
2009-03-16,GB00B16NNR78,1384.1,243.8,222,0.09,18.72689938398357,2027-12-07,222,2009-01-21,18679,0.011885004550564805,5.677194421657095,3.697,0.0050000000000003375,0,0,4,4.440892098500626e-16,3,QE1
2009-03-16,GB0002404191,548.3,92,68,0.02,19.72895277207392,2028-12-07,68,2009-01-21,15931.662,0.004268230144475824,5.959782608695652,3.696,0.0040000000000000036,0,9.999999999998899e-4,4,0,3,QE1
2009-03-16,GB00B24FF097,847.7,394.7,338,0.08,21.727583846680357,2030-12-07,338,2009-01-21,16540,0.020435308343409914,2.147707119331138,3.795,0.004999999999999893,0,9.999999999998899e-4,4,9.999999999998899e-4,3,QE1
2009-03-16,GB0004893086,345.4,108.2,99,0.09,23.227926078028748,2032-06-07,99,2009-01-21,22368.218,0.004425922529903812,3.1922365988909425,3.804,0.004999999999999893,0,-4.440892098500626e-16,4,-4.440892098500626e-16,3,QE1
2009-03-18,GB0031829509,4250.8,1275.5,1115,0.06,5.47296372347707,2014-09-07,1410,2009-01-21,17686,0.07972407553997513,3.33265386123089,2.298,0.008999999999999897,0,0,2,0,1,QE1
2009-03-18,GB0033280339,2801.5,168,147,0.01,6.4722792607802875,2015-09-07,531,2009-01-21,21468,0.024734488541084405,16.675595238095237,2.452,0.008000000000000007,0,0,2,0,1,QE1
2009-03-18,GB0008881541,2528.3,384.2,281,0.02,6.721423682409308,2015-12-07,457,2009-01-21,9997.897,0.04570961273155744,6.580687142113483,2.478,0.005999999999999783,0,-0.001000000000000334,2,-0.001000000000000334,1,QE1
2009-03-18,GB00B0V3WX43,2919.2,226.2,206,0.01,7.474332648870637,2016-09-07,345,2009-01-21,21827,0.015806111696522657,12.905393457117595,2.632,0.006999999999999673,0,0,2,0,1,QE1
2009-03-18,GB0008931148,594.7,7.2,5,0,8.438056125941136,2017-08-25,72,2009-01-21,10502,0.006855836983431727,82.59722222222223,2.851,0.006000000000000227,0,4.440892098500626e-16,2,0.001000000000000334,1,QE1
2009-03-18,GB00B1VWPC84,5093.4,461.8,396,0.04,8.969199178644764,2018-03-07,1018.7,2009-01-21,22388,0.0455020546721458,11.029449978345603,2.942,0.005999999999999783,0,-0.001000000000000334,2,-4.440892098500626e-16,1,QE1
2009-03-18,GB00B39R3F84,3801.2,471.2,419.4,0.02,9.96851471594798,2019-03-07,419.4,2009-03-11,15953,0.026289726070331598,8.067062818336163,3.111,0.005999999999999783,0,-9.999999999998899e-4,2,0,1,QE1
2009-03-23,GB00B058DQ55,908.5,0,0,0,10.956878850102669,2020-03-07,301,2009-01-30,16618,0.018112889637742206,Inf,3.318,0.008000000000000007,0,-4.440892098500626e-16,4,0,3,QE1
2009-03-23,GB0009997999,3845,1339.8,896.7,0.04,12.208076659822039,2021-06-07,1437.8000000000002,2009-01-21,22686,0.0633782949836904,2.86983131810718,3.356,0.005999999999999783,0,4.440892098500626e-16,4,0,3,QE1
2009-03-23,GB00B16NNR78,1645.4,824.7,764,0.07,18.70773442847365,2027-12-07,986,2009-01-21,18679,0.05278655174259864,1.9951497514247605,3.845,0.005999999999999783,0,-9.999999999998899e-4,4,0,3,QE1
2009-03-23,GB0002404191,504.1,202.4,152,0.07,19.709787816564,2028-12-07,220,2009-01-21,15931.662,0.01380897987918649,2.4906126482213438,3.828,0.004999999999999893,0,0,4,0,3,QE1
2009-03-23,GB00B24FF097,599.4,25.4,22,0.02,21.70841889117043,2030-12-07,360,2009-01-21,16540,0.02176541717049577,23.598425196850393,3.905,0.004999999999999893,0,-4.440892098500626e-16,4,-4.440892098500626e-16,3,QE1
2009-03-23,GB0004893086,495.1,108,100,0.16,23.208761122518823,2032-06-07,199,2009-01-21,22368.218,0.008896551347988472,4.58425925925926,3.902,0.004999999999999893,0,0,4,0,3,QE1
2009-03-25,GB0031829509,336.4,226.6,201,0.14,5.453798767967146,2014-09-07,1611,2009-01-21,17686,0.09108899694673753,1.4845542806707854,2.423,0.008999999999999897,0,0,2,0,1,QE1
2009-03-25,GB0008881541,1449.3,1198.3,892,0.26,6.702258726899384,2015-12-07,1349,2009-01-21,9997.897,0.13492837543735448,1.2094634064925311,2.649,0.007000000000000117,0,0,2,0,1,QE1
2009-03-25,GB00B0V3WX43,419.7,300.3,279,0.1,7.455167693360712,2016-09-07,624,2009-01-21,21827,0.02858844550327576,1.3976023976023975,2.789,0.006999999999999673,0,-4.440892098500626e-16,2,-4.440892098500626e-16,1,QE1
2009-03-25,GB0008931148,973,841.9,593,0.28,8.41889117043121,2017-08-25,665,2009-01-21,10502,0.06332127213864026,1.1557192065565982,3.027,0.004999999999999893,0,0,2,0,1,QE1
2009-03-25,GB00B1VWPC84,1013.8,402.9,353,0.21,8.950034223134839,2018-03-07,1371.7,2009-01-21,22388,0.06126943005181348,2.5162571357656986,3.107,0.005999999999999783,0,-4.440892098500626e-16,2,-4.440892098500626e-16,1,QE1
