"","operation_date","ISIN","nominal_purchases","res_mat","cuml_nom_purch","issue_date","cumulative_total_in_issue","percent_of_freefloat"
"1",2009-03-11,"GB0031829509",295,5.492128678987,295,2009-01-21,17686,0.0166798597760941
"2",2009-03-18,"GB0031829509",1115,5.47296372347707,1410,2009-01-21,17686,0.0797240755399751
"3",2009-03-25,"GB0031829509",201,5.45379876796715,1611,2009-01-21,17686,0.0910889969467375
"4",2009-04-01,"GB0031829509",743,5.43463381245722,2354,2009-01-21,17686,0.133099626823476
"5",2009-04-08,"GB0031829509",765,5.4154688569473,3119,2009-01-21,17686,0.176354178446229
"6",2009-04-15,"GB0031829509",1225,5.39630390143737,4344,2009-01-21,17686,0.245618002940179
"7",2009-04-21,"GB0031829509",544,5.37987679671458,4888,2009-01-21,17686,0.276376795205247
"8",2009-04-29,"GB0031829509",816,5.35797399041752,5704,2009-01-21,17686,0.32251498360285
"9",2009-05-06,"GB0031829509",389.1,5.3388090349076,6093.1,2009-01-21,17686,0.34451543593803
"10",2009-05-13,"GB0031829509",771,5.31964407939767,6864.1,2009-01-21,17686,0.388109238946059
"11",2009-05-20,"GB0031829509",1430,5.30047912388775,8294.1,2009-01-21,17686,0.468964152436956
"12",2009-05-27,"GB0031829509",823,5.28131416837782,9117.1,2009-01-21,17686,0.515498134117381
"13",2009-06-17,"GB0031829509",1647.1,5.22381930184805,10764.2,2009-06-10,23176.409,0.46444641186648
"14",2009-06-24,"GB0031829509",1342,5.20465434633812,12106.2,2009-06-10,23176.409,0.522350119036991
"15",2009-11-11,"GB0031829509",42,4.82135523613963,12148.2,2009-10-23,28057.269,0.432978705090649
"16",2009-11-25,"GB0031829509",0,4.78302532511978,12148.2,2009-10-23,28057.269,0.432978705090649
"17",2009-12-08,"GB0031829509",0,4.74743326488706,12148.2,2009-10-23,28057.269,0.432978705090649
"18",2010-01-06,"GB0031829509",568.2,4.66803559206023,12716.4,2009-10-23,28057.269,0.453230141536584
"19",2010-01-20,"GB0031829509",0,4.62970568104038,12716.4,2009-10-23,28057.269,0.453230141536584
"20",2009-03-11,"GB0033280339",384,6.49144421629021,384,2009-01-21,21468,0.0178870877585243
"21",2009-03-18,"GB0033280339",147,6.47227926078029,531,2009-01-21,21468,0.0247344885410844
"22",2009-04-08,"GB0033280339",781,6.41478439425051,1312,2009-04-02,24968,0.0525472604934316
