"","announcement","name","mat_sec","mean","sd","iqr","max","min"
"1","QE1a","gilt_ois_spread_COB_change","long",-0.1725,0.05368659050452,0.05175,-0.1125,-0.216
"2","QE1a","gilt_ois_spread_COB_change","medium",-0.1595,0.00624499799839828,0.00599999999999992,-0.1545,-0.1665
"3","QE1a","gilt_ois_spread_COB_change","untargeted_long",-0.0815000000000001,NA,0,-0.0815000000000001,-0.0815000000000001
"4","QE1a","gilt_ois_spread_COB_change","untargeted_short",-0.1295,0.0259550894174277,0.0325,-0.109,-0.164
"5","QE1a","gilt_ois_spread_t+1_change","long",-0.4805,0.120019790034811,0.11275,-0.344,-0.5695
"6","QE1a","gilt_ois_spread_t+1_change","medium",-0.374166666666667,0.0405596268884877,0.03875,-0.3285,-0.406
"7","QE1a","gilt_ois_spread_t+1_change","untargeted_long",-0.359,NA,0,-0.359,-0.359
"8","QE1a","gilt_ois_spread_t+1_change","untargeted_short",-0.103,0.0575108685380425,0.05275,-0.0475,-0.182
"9","QE1b","gilt_ois_spread_COB_change","long",-0.126333333333333,0.0435612595471404,0.04125,-0.077,-0.1595
"10","QE1b","gilt_ois_spread_COB_change","medium",-0.114,0.00522015325445541,0.00475000000000017,-0.1105,-0.12
"11","QE1b","gilt_ois_spread_COB_change","untargeted_long",-0.107,NA,0,-0.107,-0.107
"12","QE1b","gilt_ois_spread_COB_change","untargeted_short",-0.050875,0.0326480601771887,0.0338750000000001,-0.0045,-0.074
"13","QE1b","gilt_ois_spread_t+1_change","long",-0.128166666666667,0.0565714886964567,0.0525,-0.0635,-0.1685
"14","QE1b","gilt_ois_spread_t+1_change","medium",-0.121,0.00957862203033399,0.00875000000000004,-0.11,-0.1275
"15","QE1b","gilt_ois_spread_t+1_change","untargeted_long",-0.0810000000000001,NA,0,-0.0810000000000001,-0.0810000000000001
"16","QE1b","gilt_ois_spread_t+1_change","untargeted_short",-0.00924999999999997,0.0233541573743663,0.03175,0.0130000000000001,-0.0375
"17","QE1c","gilt_ois_spread_COB_change","long",-0.1605,NA,0,-0.1605,-0.1605
"18","QE1c","gilt_ois_spread_COB_change","medium",-0.134333333333333,0.0145028732785381,0.0145,-0.12,-0.149
"19","QE1c","gilt_ois_spread_COB_change","short",-0.0735833333333333,0.0743232242752336,0.057625,0.051,-0.169
