date,ticker_abrv,ois_yield,ois_tenor
2009-01-01,BPSWS1Z_OIS,1.432,0.019178082191780823
2009-01-01,BPSWS2Z_OIS,1.346,0.038356164383561646
2009-01-01,BPSWSA_OIS,1.299,0.08333333333333333
2009-01-01,BPSWSB_OIS,1.2045,0.16666666666666666
2009-01-01,BPSWSC_OIS,1.113,0.25
2009-01-01,BPSWSD_OIS,1.0165,0.3333333333333333
2009-01-01,BPSWSE_OIS,0.9695,0.4166666666666667
2009-01-01,BPSWSF_OIS,0.9395,0.5
2009-01-01,BPSWSG_OIS,0.921,0.5833333333333334
2009-01-01,BPSWSH_OIS,0.8965,0.6666666666666666
2009-01-01,BPSWSI_OIS,0.8895,0.75
2009-01-01,BPSWSJ_OIS,0.8875,0.8333333333333334
2009-01-01,BPSWSK_OIS,0.903,0.9166666666666666
2009-01-01,BPSWS1_OIS,0.921,1
2009-01-01,BPSWS1F_OIS,1.152,1.5
2009-01-01,BPSWS2_OIS,1.467,2
2009-01-01,BPSWS3_OIS,1.98,3
2009-01-01,BPSWS4_OIS,2.2825,4
2009-01-01,BPSWS5_OIS,2.4825,5
2009-01-01,BPSWS6_OIS,2.63,6
2009-01-01,BPSWS7_OIS,2.735,7
2009-01-01,BPSWS8_OIS,2.815,8
2009-01-01,BPSWS9_OIS,2.88,9
2009-01-01,BPSWS10_OIS,2.9375,10
2009-01-01,BPSWS12_OIS,3.095,12
2009-01-01,BPSWS15_OIS,3.2575,15
2009-01-01,BPSWS20_OIS,3.2,20
2009-01-01,BPSWS25_OIS,3.065,25
2009-01-01,BPSWS30_OIS,2.965,30
2009-01-01,BPSWS40_OIS,NA,40
2009-01-01,BPSWS50_OIS,NA,50
2009-01-02,BPSWS1Z_OIS,1.429,0.019178082191780823
2009-01-02,BPSWS2Z_OIS,1.335,0.038356164383561646
2009-01-02,BPSWSA_OIS,1.286,0.08333333333333333
2009-01-02,BPSWSB_OIS,1.17,0.16666666666666666
2009-01-02,BPSWSC_OIS,1.087,0.25
2009-01-02,BPSWSD_OIS,1.0045,0.3333333333333333
2009-01-02,BPSWSE_OIS,0.9595,0.4166666666666667
2009-01-02,BPSWSF_OIS,0.923,0.5
2009-01-02,BPSWSG_OIS,0.9015,0.5833333333333334
2009-01-02,BPSWSH_OIS,0.8895,0.6666666666666666
2009-01-02,BPSWSI_OIS,0.8825,0.75
2009-01-02,BPSWSJ_OIS,0.8835,0.8333333333333334
2009-01-02,BPSWSK_OIS,0.8935,0.9166666666666666
2009-01-02,BPSWS1_OIS,0.9055,1
2009-01-02,BPSWS1F_OIS,1.1285,1.5
2009-01-02,BPSWS2_OIS,1.435,2
2009-01-02,BPSWS3_OIS,1.92375,3
2009-01-02,BPSWS4_OIS,2.23,4
2009-01-02,BPSWS5_OIS,2.44,5
2009-01-02,BPSWS6_OIS,2.59625,6
2009-01-02,BPSWS7_OIS,2.71125,7
2009-01-02,BPSWS8_OIS,2.79875,8
2009-01-02,BPSWS9_OIS,2.865,9
2009-01-02,BPSWS10_OIS,2.925,10
2009-01-02,BPSWS12_OIS,3.08625,12
2009-01-02,BPSWS15_OIS,3.2575,15
2009-01-02,BPSWS20_OIS,3.2075,20
2009-01-02,BPSWS25_OIS,3.08,25
2009-01-02,BPSWS30_OIS,2.9875,30
2009-01-02,BPSWS40_OIS,NA,40
2009-01-02,BPSWS50_OIS,NA,50
2009-01-05,BPSWS1Z_OIS,1.314,0.019178082191780823
2009-01-05,BPSWS2Z_OIS,1.251,0.038356164383561646
2009-01-05,BPSWSA_OIS,1.219,0.08333333333333333
2009-01-05,BPSWSB_OIS,1.104,0.16666666666666666
2009-01-05,BPSWSC_OIS,1.027,0.25
2009-01-05,BPSWSD_OIS,0.9755,0.3333333333333333
2009-01-05,BPSWSE_OIS,0.927,0.4166666666666667
2009-01-05,BPSWSF_OIS,0.894,0.5
2009-01-05,BPSWSG_OIS,0.88,0.5833333333333334
2009-01-05,BPSWSH_OIS,0.87325,0.6666666666666666
2009-01-05,BPSWSI_OIS,0.883,0.75
2009-01-05,BPSWSJ_OIS,0.8745,0.8333333333333334
2009-01-05,BPSWSK_OIS,0.8905,0.9166666666666666
2009-01-05,BPSWS1_OIS,0.91,1
2009-01-05,BPSWS1F_OIS,1.1335,1.5
2009-01-05,BPSWS2_OIS,1.4375,2
2009-01-05,BPSWS3_OIS,1.96125,3
2009-01-05,BPSWS4_OIS,2.2825,4
2009-01-05,BPSWS5_OIS,2.5,5
2009-01-05,BPSWS6_OIS,2.66875,6
2009-01-05,BPSWS7_OIS,2.79375,7
2009-01-05,BPSWS8_OIS,2.89,8
2009-01-05,BPSWS9_OIS,2.96625,9
2009-01-05,BPSWS10_OIS,3.0325,10
2009-01-05,BPSWS12_OIS,3.19625,12
2009-01-05,BPSWS15_OIS,3.36625,15
2009-01-05,BPSWS20_OIS,3.31125,20
2009-01-05,BPSWS25_OIS,3.17875,25
2009-01-05,BPSWS30_OIS,3.085,30
2009-01-05,BPSWS40_OIS,NA,40
2009-01-05,BPSWS50_OIS,NA,50
2009-01-06,BPSWS1Z_OIS,1.258,0.019178082191780823
2009-01-06,BPSWS2Z_OIS,1.214,0.038356164383561646
2009-01-06,BPSWSA_OIS,1.185,0.08333333333333333
2009-01-06,BPSWSB_OIS,1.085,0.16666666666666666
2009-01-06,BPSWSC_OIS,1.021,0.25
2009-01-06,BPSWSD_OIS,0.966,0.3333333333333333
2009-01-06,BPSWSE_OIS,0.9295,0.4166666666666667
2009-01-06,BPSWSF_OIS,0.914,0.5
2009-01-06,BPSWSG_OIS,0.8975,0.5833333333333334
2009-01-06,BPSWSH_OIS,0.9015,0.6666666666666666
2009-01-06,BPSWSI_OIS,0.907,0.75
2009-01-06,BPSWSJ_OIS,0.924,0.8333333333333334
2009-01-06,BPSWSK_OIS,0.9355,0.9166666666666666
2009-01-06,BPSWS1_OIS,0.961,1
2009-01-06,BPSWS1F_OIS,1.1835,1.5
2009-01-06,BPSWS2_OIS,1.4855,2
2009-01-06,BPSWS3_OIS,1.97875,3
2009-01-06,BPSWS4_OIS,2.30125,4
2009-01-06,BPSWS5_OIS,2.525,5
2009-01-06,BPSWS6_OIS,2.69875,6
2009-01-06,BPSWS7_OIS,2.83375,7
2009-01-06,BPSWS8_OIS,2.93375,8
2009-01-06,BPSWS9_OIS,3.01375,9
2009-01-06,BPSWS10_OIS,3.0875,10
2009-01-06,BPSWS12_OIS,3.24125,12
2009-01-06,BPSWS15_OIS,3.40875,15
2009-01-06,BPSWS20_OIS,3.36125,20
2009-01-06,BPSWS25_OIS,3.22875,25
2009-01-06,BPSWS30_OIS,3.1375,30
2009-01-06,BPSWS40_OIS,NA,40
2009-01-06,BPSWS50_OIS,NA,50
2009-01-07,BPSWS1Z_OIS,1.186,0.019178082191780823
2009-01-07,BPSWS2Z_OIS,1.156,0.038356164383561646
2009-01-07,BPSWSA_OIS,1.115,0.08333333333333333
2009-01-07,BPSWSB_OIS,1.017,0.16666666666666666
2009-01-07,BPSWSC_OIS,0.962,0.25
2009-01-07,BPSWSD_OIS,0.92,0.3333333333333333
2009-01-07,BPSWSE_OIS,0.872,0.4166666666666667
2009-01-07,BPSWSF_OIS,0.861,0.5
2009-01-07,BPSWSG_OIS,0.851,0.5833333333333334
2009-01-07,BPSWSH_OIS,0.845,0.6666666666666666
2009-01-07,BPSWSI_OIS,0.85,0.75
2009-01-07,BPSWSJ_OIS,0.857,0.8333333333333334
2009-01-07,BPSWSK_OIS,0.8775,0.9166666666666666
2009-01-07,BPSWS1_OIS,0.8905,1
2009-01-07,BPSWS1F_OIS,1.10325,1.5
2009-01-07,BPSWS2_OIS,1.3835,2
2009-01-07,BPSWS3_OIS,1.8725,3
