"","Dates","Tenor","OIS_YLD","GILT_YLD","ISIN","percent_of_freefloat","gilt_ois_spread","mat_sec"
"1",2009-01-01,"1Y",0.921,0.545,"GB0003042636",NA,-0.376,"untargeted_short"
"2",2009-01-01,"2Y",1.467,1.047,"GB00B0330274",NA,-0.42,"untargeted_short"
"3",2009-01-01,"3Y",1.98,1.823,"GB00B0LNX641",NA,-0.157,"untargeted_short"
"4",2009-01-01,"4Y",2.2825,2.297,"GB0030468747",NA,0.0145,"untargeted_short"
"5",2009-01-01,"5Y",2.4825,2.429,"GB00B29WRG55",NA,-0.0535000000000001,"medium"
"6",2009-01-01,"7Y",2.735,2.949,"GB0033280339",NA,0.214,"medium"
"7",2009-01-01,"8Y",2.815,2.932,"GB00B0V3WX43",NA,0.117,"medium"
"8",2009-01-01,"10Y",2.9375,3.02,"GB00B1VWPC84",NA,0.0825,"long"
"9",2009-01-01,"15Y",3.2575,3.889,"GB0030880693",NA,0.6315,"long"
"10",2009-01-01,"20Y",3.2,3.939,"GB00B16NNR78",NA,0.739,"long"
"11",2009-01-01,"30Y",2.965,3.702,"GB00B00NY175",NA,0.737,"untargeted_long"
"12",2009-01-01,"40Y",NA,NA,"GB00B128DP45",NA,NA,"untargeted_long"
"13",2009-01-01,"50Y",NA,NA,"GB00B06YGN05",NA,NA,"untargeted_long"
"14",2009-01-02,"1Y",0.9055,0.705,"GB0003042636",NA,-0.2005,"untargeted_short"
"15",2009-01-02,"2Y",1.435,1.013,"GB00B0330274",NA,-0.422,"untargeted_short"
"16",2009-01-02,"3Y",1.92375,1.776,"GB00B0LNX641",NA,-0.14775,"untargeted_short"
"17",2009-01-02,"4Y",2.23,2.258,"GB0030468747",NA,0.028,"untargeted_short"
"18",2009-01-02,"5Y",2.44,2.417,"GB00B29WRG55",NA,-0.0230000000000001,"medium"
"19",2009-01-02,"7Y",2.71125,2.935,"GB0033280339",NA,0.22375,"medium"
"20",2009-01-02,"8Y",2.79875,2.929,"GB00B0V3WX43",NA,0.13025,"medium"
"21",2009-01-02,"10Y",2.925,3.035,"GB00B1VWPC84",NA,0.11,"long"
"22",2009-01-02,"15Y",3.2575,3.914,"GB0030880693",NA,0.6565,"long"
"23",2009-01-02,"20Y",3.2075,3.969,"GB00B16NNR78",NA,0.7615,"long"
"24",2009-01-02,"30Y",2.9875,3.739,"GB00B00NY175",NA,0.7515,"untargeted_long"
"25",2009-01-02,"40Y",NA,NA,"GB00B128DP45",NA,NA,"untargeted_long"
"26",2009-01-02,"50Y",NA,NA,"GB00B06YGN05",NA,NA,"untargeted_long"
"27",2009-01-05,"1Y",0.91,1.075,"GB00B0330274",NA,0.165,"untargeted_short"
"28",2009-01-05,"2Y",1.4375,1.844,"GB00B0LNX641",NA,0.4065,"untargeted_short"
"29",2009-01-05,"3Y",1.96125,2.316,"GB0030468747",NA,0.35475,"untargeted_short"
"30",2009-01-05,"4Y",2.2825,2.495,"GB00B29WRG55",NA,0.2125,"untargeted_short"
"31",2009-01-05,"5Y",2.5,2.826,"GB0031829509",NA,0.326,"medium"
"32",2009-01-05,"7Y",2.79375,3.026,"GB0033280339",NA,0.23225,"medium"
"33",2009-01-05,"8Y",2.89,3.033,"GB00B0V3WX43",NA,0.143,"medium"
"34",2009-01-05,"10Y",3.0325,3.154,"GB00B1VWPC84",NA,0.1215,"long"
"35",2009-01-05,"15Y",3.36625,3.997,"GB0030880693",NA,0.63075,"long"
"36",2009-01-05,"20Y",3.31125,4.048,"GB00B16NNR78",NA,0.73675,"long"
"37",2009-01-05,"30Y",3.085,3.84,"GB00B00NY175",NA,0.755,"untargeted_long"
"38",2009-01-05,"40Y",NA,NA,"GB00B128DP45",NA,NA,"untargeted_long"
"39",2009-01-05,"50Y",NA,NA,"GB00B06YGN05",NA,NA,"untargeted_long"
"40",2009-01-06,"1Y",0.961,1.121,"GB00B0330274",NA,0.16,"untargeted_short"
"41",2009-01-06,"2Y",1.4855,1.819,"GB00B0LNX641",NA,0.3335,"untargeted_short"
"42",2009-01-06,"3Y",1.97875,2.331,"GB0030468747",NA,0.35225,"untargeted_short"
"43",2009-01-06,"4Y",2.30125,2.54,"GB00B29WRG55",NA,0.23875,"untargeted_short"
"44",2009-01-06,"5Y",2.525,2.842,"GB0031829509",NA,0.317,"medium"
"45",2009-01-06,"7Y",2.83375,3.087,"GB0033280339",NA,0.25325,"medium"
"46",2009-01-06,"8Y",2.93375,3.12,"GB00B0V3WX43",NA,0.18625,"medium"
"47",2009-01-06,"10Y",3.0875,3.261,"GB00B1VWPC84",NA,0.1735,"long"
"48",2009-01-06,"15Y",3.40875,4.105,"GB0030880693",NA,0.69625,"long"
"49",2009-01-06,"20Y",3.36125,4.157,"GB00B16NNR78",NA,0.79575,"long"
"50",2009-01-06,"30Y",3.1375,3.982,"GB00B00NY175",NA,0.8445,"untargeted_long"
"51",2009-01-06,"40Y",NA,NA,"GB00B128DP45",NA,NA,"untargeted_long"
"52",2009-01-06,"50Y",NA,NA,"GB00B06YGN05",NA,NA,"untargeted_long"
"53",2009-01-07,"1Y",0.8905,1.112,"GB00B0330274",NA,0.2215,"untargeted_short"
