"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"1","QE1a","COB_change","long",-0.327222222222222,0.067250980992432,0.131,-0.241,-0.4
"2","QE1a","COB_change","medium",-0.2785,0.0389499679075606,0.031,-0.206,-0.307
"3","QE1a","COB_change","untargeted_long",-0.0647142857142856,0.0807975129273052,0.0619999999999994,-0.00100000000000033,-0.233
"4","QE1a","COB_change","untargeted_short",-0.117,0.00424264068711913,0.00299999999999989,-0.114,-0.12
"5","QE1a","t+1_change","long",-0.702111111111111,0.167274059887094,0.324,-0.49,-0.875
"6","QE1a","t+1_change","medium",-0.575666666666667,0.0887911406992087,0.0660000000000001,-0.411,-0.657
"7","QE1a","t+1_change","untargeted_long",-0.364,0.0856640725936684,0.0904999999999998,-0.287,-0.524999999999999
"8","QE1a","t+1_change","untargeted_short",-0.12,0.00565685424949239,0.004,-0.116,-0.124
"9","QE1b","COB_change","long",0.0168750000000001,0.0312429992158244,0.0575,0.0590000000000002,-0.00900000000000034
"10","QE1b","COB_change","medium",0.0474285714285714,0.0219230255124389,0.0394999999999999,0.0739999999999998,0.0259999999999998
"11","QE1b","COB_change","untargeted_long",0.0232857142857143,0.00381725406168228,0.000500000000000167,0.0270000000000001,0.0149999999999997
"12","QE1b","COB_change","untargeted_short",0.0626666666666666,0.0202072594216369,0.0175000000000001,0.0859999999999999,0.0509999999999997
"13","QE1b","t+1_change","long",0.0465000000000003,0.0408131631427201,0.0710000000000002,0.103,0.0150000000000006
"14","QE1b","t+1_change","medium",0.0855714285714285,0.0313095147564717,0.0554999999999999,0.124,0.0569999999999999
"15","QE1b","t+1_change","untargeted_long",0.0594285714285715,0.00697273602103586,0.0015000000000005,0.0650000000000004,0.0439999999999996
"16","QE1b","t+1_change","untargeted_short",0.102666666666667,0.00472581562625259,0.00449999999999995,0.108,0.0990000000000002
"17","QE1c","COB_change","long",-0.106222222222222,0.0223706156474167,0.0449999999999999,-0.0800000000000001,-0.129
"18","QE1c","COB_change","medium",-0.0761428571428571,0.017563490270336,0.0234999999999996,-0.0600000000000001,-0.105
"19","QE1c","COB_change","untargeted_long",-0.149625,0.00630051018342394,0.00624999999999964,-0.138999999999999,-0.157999999999999
"20","QE1c","COB_change","untargeted_short",-0.200666666666667,0.011930353445449,0.0110000000000001,-0.187,-0.209
"21","QE1c","t+1_change","long",-0.118888888888889,0.0980120457449549,0.182,-0.00400000000000045,-0.208
"22","QE1c","t+1_change","medium",-0.00528571428571421,0.0258825184614009,0.0474999999999999,0.0219999999999998,-0.0369999999999999
"23","QE1c","t+1_change","untargeted_long",-0.200125,0.00408612635284693,0.00500000000000012,-0.194999999999999,-0.207000000000001
"24","QE1c","t+1_change","untargeted_short",-0.119,0.00953939201416969,0.00850000000000017,-0.108,-0.125
"25","QE1d","COB_change","long",0.0146250000000001,0.00954594154601851,0.0147499999999996,0.0300000000000002,0.00299999999999923
"26","QE1d","COB_change","medium",0.0460000000000001,0.0112249721603219,0.0199999999999991,0.0610000000000004,0.0299999999999994
"27","QE1d","COB_change","short",0.0455000000000001,0.0181734071454069,0.0267499999999998,0.0630000000000002,0.0150000000000001
"28","QE1d","t+1_change","long",0.0263749999999999,0.0145596065488442,0.0219999999999998,0.048,0.00699999999999967
"29","QE1d","t+1_change","medium",0.0705555555555555,0.0166291243839769,0.0299999999999994,0.0939999999999994,0.0489999999999995
"30","QE1d","t+1_change","short",0.05475,0.038762974367535,0.0642499999999999,0.093,-0.0110000000000001
"31","QE2a","COB_change","long",-0.0472222222222223,0.0205534533459573,0.032,-0.0170000000000003,-0.0680000000000001
"32","QE2a","COB_change","medium",0.01025,0.0100249688278817,0.00750000000000006,0.02,-0.00700000000000012
"33","QE2a","COB_change","short",0.0311428571428571,0.0207247794564015,0.0262500000000001,0.081,0.004
"34","QE2a","COB_change","untargeted_short",0.05125,0.0205,0.0352499999999999,0.069,0.033
"35","QE2a","t+1_change","long",-0.0187777777777778,0.0294566536531977,0.0510000000000002,0.024,-0.0489999999999999
"36","QE2a","t+1_change","medium",0.043,0.0174683387058661,0.02425,0.0760000000000001,0.0270000000000001
"37","QE2a","t+1_change","short",0.0895,0.0527690906030881,0.0767499999999999,0.218,0.0339999999999998
"38","QE2a","t+1_change","untargeted_short",0.06675,0.0316372670543248,0.0522499999999999,0.098,0.039
"39","QE2b","COB_change","long",0.113222222222222,0.000666666666666723,0.00099999999999989,0.114,0.112
